Title,Review,Review Count,Calorie,Prep Time,Total Time,Servings,Link
No-Peek Chicken,4.1,85,445,15 mins, 1 hr 45 mins,6,https://www.allrecipes.com/recipe/8515263/no-peek-chicken/
White Chicken Enchilada Slow-Cooker Casserole,4.1,243,824,30 mins, 4 hrs 30 mins,10,https://www.allrecipes.com/recipe/87133/white-chicken-enchilada-slow-cooker-casserole/
Lemon Chicken III,4.2,165,441,30 mins, 12 hrs,6,https://www.allrecipes.com/recipe/24793/lemon-chicken-iii/
Broccoli Chicken Casserole,4.2,1010,427,10 mins,50 mins,4,https://www.allrecipes.com/recipe/8965/broccoli-chicken-casserole-i/
Old-Fashioned Chicken and Dumplings,4.3,181,400,15 mins, 1 hr,20,https://www.allrecipes.com/recipe/15338/old-fashioned-chicken-and-dumplings/
"Broccoli, Rice, Cheese, and Chicken Casserole",4.3,1150,756,15 mins,45 mins,8,https://www.allrecipes.com/recipe/25490/broccoli-rice-cheese-and-chicken-casserole/
Kung Pao Chicken,4.3,1479,437,30 mins, 1 hr 30 mins,4,https://www.allrecipes.com/recipe/9027/kung-pao-chicken/
Easy Baked Chicken Thighs,4.3,230,162,5 mins,35 mins,4,https://www.allrecipes.com/recipe/235153/easy-baked-chicken-thighs/
Broccoli Chicken Divan,4.4,2073,186,20 mins,40 mins,6,https://www.allrecipes.com/recipe/8854/broccoli-chicken-divan/
Chicken Noodle Casserole,4.4,2481,542,30 mins, 1 hr 25 mins,6,https://www.allrecipes.com/recipe/11864/chicken-noodle-casserole-i/
Triple-Dipped Fried Chicken,4.4,983,661,30 mins,45 mins,6,https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/
Healthy Chicken Salad,4.4,112,168,15 mins,15 mins,4,https://www.allrecipes.com/recipe/272849/healthy-chicken-salad/
White Cheese Chicken Lasagna,4.4,2532,369,25 mins, 1 hr 15 mins,12,https://www.allrecipes.com/recipe/8758/white-cheese-chicken-lasagna/
