url,title,author,story,ingredients,steps,review_count,primary_alcohol
https://www.liquor.com/cocktail-and-other-recipes-4779343,,,,[],[],0,
https://www.liquor.com/other-recipes-4779379,,,,[],[],0,
https://www.liquor.com/toni-tipton-martin-juke-joints-recipes-8584470,"Try 3 Drinks from Toni Tipton-Martin’s New Book, Inspired by Two Centuries of Black Cocktail History",Audrey Morgan,,[],[],0,
https://www.liquor.com/jerk-spiced-bloody-mary-recipe-8584488,Jerk-Spiced Bloody Mary,Toni Tipton-Martin,"Reprinted with permission from Juke Joints, Jazz Clubs & Juice by Toni Tipton-Martin, copyright © 2023. Photographs by Brittany Conerly. Published by Clarkson Potter, a division of Penguin Random House, LLC. The Bloody Mary has long been a popular morning-after drink, known for its ability to soothe symptoms of a hangover. There are just a few recipes in my collection of African American cookbooks for the classic combination, which is ordinarily made with vodka, tomato juice , Worcestershire sauce, and seasonings, but the drink is experiencing a bit of a renaissance lately. The Bottomless Bloody Mary on restaurant brunch menus, made more boldly with rum, flavored vodka, and potent spices, may be driving this trend. These Are Bartenders' Favorite Tomato Juices for Bloody Marys RELATED ARTICLE I love the flavor departure in the Bloody Maria , a fiery Mexican version built with tequila; or the complexity of iconic restaurateur-model-author-entrepreneur Barbara “B.” Smith’s Cajun Mary, which she included in B. Smith Cooks Southern-Style in 2009. Smith’s ode to Louisiana can be made sweet with Absolut Mango vodka or spicy with Absolut Pepper vodka and garnished with spicy baby okra and blue-cheese–stuffed olives. And my curiosity was definitely piqued by Pat and Gina Neely’s flavor-balancing act. The television food personalities re-imagined the morning libation with hot-pepper vodka, vegetable juice, barbecue sauce, and horseradish in their 2009 cookbook, Down Home with the Neelys: A Southern Family Cookbook . I also fell hard for the idea of Bloody Marys for a Crowd, in Elle Simone Scott’s 2022 cookbook, Boards —so hard that I included a version of the recipe in Cook’s Country magazine, where I am editor-in-chief. Elle starts by making a big batch of classic Bloodies, but for variety, she sets out a wide assortment of rim salts, skewers, and garnishes—everything from classic olives and celery to chicken wings and poached shrimp—so people can customize their drink to their heart’s content. Clarkson Potter / Brittany Conerly In the end, though, it was the Bloody Mary à la Jerk, included in Helen Willinsky’s 1990 book, Jerk Barbecue from Jamaica , that won me over. Inspired by its use of sweet-hot spices, the version that follows swaps rum for vodka and doubles easily to serve a large crowd. Rimming the outside edge of the serving glass with the jerk seasoning intensifies the island experience, but it is optional. Serves 8 to 10.","[{'quantity': '1', 'unit': 'quart', 'ingredient': 'tomato juice'}, {'quantity': '1/2', 'unit': 'cup', 'ingredient': 'prepared jerk seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'ingredient': 'celery salt'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'worcestershire sauce'}, {'quantity': '4', 'unit': 'ounces', 'ingredient': 'fresh lime or lemon juice'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'ingredient': 'hot pepper sauce, or to taste'}, {'quantity': '8', 'unit': 'ounces', 'ingredient': 'light or dark rum'}, {'quantity': '8–10', 'unit': 'lime or lemon', 'ingredient': 'lime or lemon'}, {'quantity': '8–10', 'unit': '', 'ingredient': 'celery stalks, with leaves'}]","['Combine the tomato juice, 1 tablespoon of the jerk seasoning, the celery salt, and Worcestershire sauce in a small microwave- safe pitcher. Microwave until bubbles just begin to form around the edge of the pitcher, 2 to 3 minutes.', 'Remove it from the microwave and stir to dissolve the seasoning. Add the lime juice, hot pepper sauce, and rum to the base.', 'Refrigerate several hours, until thoroughly chilled.', 'Place the remaining ½ cup jerk seasoning on a saucer. Moisten the edges of tall glasses with a lime wedge. Press the edge of each glass into the seasoning to create a spiced rim.', 'Add ice to each glass, then pour in the mix. Garnish each glass with 1 lime wedge and a celery stalk.']",46,rum
https://www.liquor.com/clover-leaf-cocktail-recipe-8576334,Clover Leaf,Toni Tipton-Martin,"Reprinted with permission from Juke Joints, Jazz Clubs & Juice by Toni Tipton-Martin, copyright © 2023. Photographs by Brittany Conerly. Published by Clarkson Potter, a division of Penguin Random House, LLC. The Clover Leaf is a floral, fruity, and sweet gin drink, made with grenadine (pomegranate syrup), lemon juice, and egg whites, resulting in a cocktail with the taste and mouthfeel of berry cream soda. It is sometimes confused with the Clover Club , which uses raspberry syrup in place of the grenadine and vermouth for the lemon juice. (Longtime Tulsa caterer Cleora Butler enjoyed combining grenadine and vermouth—pantry staples that are more accessible than raspberry syrup and fresh lemon juice.) Either way, the drink is sensational, and is another delicious way to serve that homemade grenadine mixed with Old Tom gin , which is mild and smooth. Clarkson Potter / Brittany Conerly If you prefer raspberry syrup to the grenadine, this updated option relies on Chambord, a luxury brand of black raspberry liqueur, to tone down some of the sugar. Pasteurized egg whites or half-and-half also replace the frothy raw egg. In either case, this technique demonstrates the high art of cocktail making, shaking to create a beautiful crown of foam.","[{'quantity': '1/2', 'unit': 'ounce', 'ingredient': 'Chambord liqueur'}, {'quantity': '1/2', 'unit': 'ounce', 'ingredient': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'ounce', 'ingredient': 'pasteurized egg whites'}, {'quantity': '1–1 1/2', 'unit': 'ounces', 'ingredient': 'gin'}, {'quantity': '1', 'unit': '', 'ingredient': 'mint leaf'}]","['Combine the Chambord or grenadine, lemon juice, egg white or half-and-half, and gin in a cocktail shaker with ice cubes.', 'Shake vigorously for 10 seconds, until the ingredients are cold and the mix is frothy with a pink blush.', 'Strain into a Martini or coupe cocktail glass, making sure there is a thin layer of foam and a few small ice chips floating on top.', 'Garnish with the mint leaf.']",40,liqueur
https://www.liquor.com/emerson-cocktail-recipe-8572484,Emerson,Dylan Garret,"The Emerson is a classic cocktail consisting of gin, sweet vermouth, maraschino liqueur, and lime juice. It’s a close relative of the Martinez , itself considered a possible forebearer of the Martini. The exact origins of the drink are largely unknown, though some say the drink was named in honor of Ralph Waldo Emerson, and one of its earliest known appearances was in Jacques Straub’s 1913 book Straub’s Manual of Mixed Drinks . It mostly follows cocktails of the era, taking the spirit-plus-vermouth-plus-modifier template of drinks like the Manhattan and the Martini and adding its own slight tweaks. What Makes the Emerson Work Like the Martinez, the Emerson follows a structure of gin, sweet vermouth, and maraschino liqueur, but it differs in its modifier. While the Martinez uses bitters as its accent ingredient, the Emerson opts for a relatively small amount of lime juice. What this does is skews the cocktail away from the bitter and spirit-forward template of drinks and towards the sour category, though somewhat more subtly than other classic sours of the era like the Gin Sour or Daiquiri . What you get is a cocktail that straddles the line between these two worlds. 10 Cocktails to Make with Maraschino Liqueur RELATED ARTICLE At 1/4 ounce, maraschino liqueur is used in a relatively small amount here. However, it provides a substantial amount of backbone when considered as a sweetener. The grams of sugar by volume in maraschino liqueur are roughly double that of most sweet vermouths, meaning it’s easier to tweak small amounts of liqueur used in the Emerson to fit your preferred flavor profile rather than alter the volume of vermouth. Maraschino helps bring out the fruit-forward notes of vermouth and contribute sweetness while not overpowering vermouth’s more subtle qualities. In all, the Emerson is an interesting representation of two popular pre-Prohibition styles of cocktail fused together, and a fantastic option for fans of either citrus-forward sours or spirit-forward Martinez-style cocktails looking for something different.","[{'quantity': '1 1/2', 'unit': 'ounces', 'ingredient': 'gin, preferably Old Tom'}, {'quantity': '1', 'unit': 'ounce', 'ingredient': 'sweet vermouth'}, {'quantity': '1/2', 'unit': 'ounce', 'ingredient': 'lime juice, freshly squeezed'}, {'quantity': '1/4', 'unit': 'ounce', 'ingredient': 'maraschino liqueur'}, {'quantity': '', 'unit': '', 'ingredient': 'maraschino cherry', 'note': 'Garnish'}]","['Combine all ingredients except garnish in a cocktail shaker filled with ice.', 'Shake for 10–15 seconds, until well chilled.', 'Double strain through a fine mesh strainer into a chilled cocktail glass.', 'Garnish with a maraschino cherry.']",29,gin
https://www.liquor.com/kansas-city-ice-water-cocktail-recipe-8558889,Kansas City Ice Water,Audrey Morgan,"The Kansas City Ice Water, also known as the KC Ice Water, is a simple cocktail that usually includes gin, vodka, lime juice, triple sec, and lemon-lime soda. The drink remains popular in its original form, but that hasn’t stopped some bartenders from seeking to improve upon its base template. This zesty, floral, and crowd-pleasing riff comes from Andrew Olsen, national beverage director of J. Rieger & Co , a historic distillery in Kansas City, Missouri. “The KC Ice Water was a common order in the high-volume bar scene of many college towns and local haunts, especially in the Midwest region,” says Olsen. “In 2017, when opening up a restaurant in the Country Club Plaza district, I recognized that popularity and wanted to make something that was reminiscent of the original flavors, but with a more craft element added to it.” “Our version stays with the vodka base but instead of splitting with gin, we use riesling wine,” he says. “This gives us great minerality and some brilliant fruit flavors like pear and green apple. Then we use a chamomile syrup that is somewhat parallel to the floral/botanical experience you get from the gin.” For the base, Olsen uses J. Rieger’s Premium Wheat Vodka , which is 100% wheat-based and has a rich texture due to a final distillation in a copper pot still . If you can’t source J. Rieger, look for another wheat-based vodka. Olsen also suggests using a kabinett riesling, which is a semi-dry, high-acid style. This recipe calls for a homemade chamomile syrup, which comes together easily on the stovetop and can be saved for use in other cocktails or for cooking and baking. You can source dried chamomile flowers on Amazon or at many grocery stores like Whole Foods. The cocktail is balanced with fresh lime juice and a coarse sparkling mineral water like Topo Chico or Jarritos Mineragua.","[{'quantity': '1 1/4', 'unit': 'ounces', 'ingredient': 'vodka'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'riesling'}, {'quantity': '1/2', 'unit': 'ounce', 'ingredient': 'chamomile syrup'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'lime juice'}, {'quantity': '2', 'unit': 'ounces', 'ingredient': 'sparkling mineral water'}, {'quantity': '', 'unit': 'Garnish:', 'ingredient': 'lime wheel'}]","['Combine all ingredients except sparkling mineral water in a cocktail shaker filled with ice.', 'Shake for 15–20 seconds, until well chilled.', 'Pour sparkling mineral water in a highball glass, and strain the mixture from the shaker over it. Add fresh ice.', 'Garnish with a lime wheel.']",6,vodka
https://www.liquor.com/champs-elysees-cocktail-recipe-8558284,Champs-Élysées,Dylan Garret,"The Champs-Élysées is a classic cocktail that consists of cognac, Green Chartreuse, lemon juice, simple syrup, and bitters. Named after the famous Paris avenue, it’s essentially a riff on the Sidecar that calls for Chartreuse rather than orange liqueur. The cocktail was first popularized in Europe, as the United States was still in the midst of Prohibition. The drink began to appear in cocktail books around 1925, when it was featured in Drinks—Long and Short by Nina Toye & A. H. Adair. In 1930, its profile grew further when it was included in Harry Craddock’s The Savoy Cocktail Book , which dialed up the recipe to punch proportions, meant to serve six. Despite these early 20th-century appearances, little is known about who first formulated the Champs-Élysées cocktail. Whatever the drink’s origins, it worked to bring attention to the mixability of French herbal liqueurs. It also contributed to the development of the sour category of drinks through bartender experimentation of previous iterations like the Sidecar and its forebearer, the Brandy Crusta . How to Make a Sidecar RELATED ARTICLE What Makes the Champs-Élysées Work While the Sidecar uses orange liqueur as its sweetener, the Champs-Élysées employs Green Chartreuse, an aromatic French herbal liqueur. When it’s combined with Angostura bitters, what you get is a deeper, more earthy and woodsy cocktail in the sour profile, as opposed to the Sidecar’s juicier, fruit-forward notes. This makes the Champs-Élysées a fantastic alternative for those seeking a sour style of cocktail while minimizing the potential for it to turn into a juice bomb. Lemon juice provides the needed acidity to balance the sweet elements, but the aromatics of the other ingredients create something that may be appealing to those who usually favor more spirit-forward cocktails. The drink is sweetened with both Chartreuse and neutral simple syrup, as the former ingredient would overpower the drink. Though this recipe calls for Green Chartreuse, those who wish for a more subtle touch may opt for the milder Yellow Chartreuse , which will come across as less perfumy in the final mix and has a slightly lower alcohol content. Green Chartreuse vs. Yellow Chartreuse: The Main Differences RELATED ARTICLE Worth noting, both styles of Chartreuse can be difficult to source at times, as production of the spirits is limited, and demand can often skyrocket. While there are no direct replacements for the classic liqueur, there are many newer alternatives that can work within the below specifications for a slightly different but delicious drink.","[{'quantity': '2', 'unit': 'ounces', 'ingredient': 'cognac'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'lemon juice, freshly squeezed'}, {'quantity': '1/2', 'unit': 'ounce', 'ingredient': 'Green Chartreuse'}, {'quantity': '1/4', 'unit': 'ounce', 'ingredient': 'simple syrup'}, {'quantity': '2', 'unit': 'dashes', 'ingredient': 'Angostura bitters'}, {'quantity': '', 'unit': '', 'ingredient': 'lemon twist', 'note': 'Garnish'}]","['Combine all ingredients except garnish in a cocktail shaker filled with ice.', 'Shake for 15–20 seconds until well chilled.', 'Strain into a chilled coupe or Nick & Nora glass.', 'Garnish with a lemon twist.']",25,
https://www.liquor.com/bushwick-cocktail-recipe-8553072,Bushwick,Dylan Garret,"The Bushwick cocktail was created in 2009 by bartender Phil Ward at Mayahuel, the bar he operated in New York City’s East Village until 2017. Named after a neighborhood in Brooklyn, New York, this combination of rye whiskey, sweet vermouth, maraschino liqueur, and Amer Picon is essentially a riff on the classic Brooklyn cocktail that opts for sweet vermouth rather than dry. The Brooklyn, which debuted in the early 1900s, is  often attributed to a bartender who sought to create a new cocktail to stand alongside the iconic Manhattan and newly ascendent Bronx cocktail. Though it fell out of fashion through most of the 20th century—at least in comparison to the Manhattan—it saw a resurgence in the 2000s as bartenders continued to revive pre-Prohibition cocktails. While the original Brooklyn was created in an effort to capitalize on the trend of cocktails named after New York City boroughs, roughly 100 years later the Bushwick represented a new trend of bartenders naming cocktails after specific neighborhoods within those boroughs, like the Greenpoint , Red Hook , and Bay Ridge . Ironically, according to research by drinks historian David Wondrich in The Daily Beast , early Brooklyn recipes actually called for sweet vermouth, before later printings of the recipes in various cocktail menus began to make the switch to dry. Essentially, Ward’s Bushwick cocktail could be seen as a Brooklyn made to its original specifications. How to Make a Brooklyn RELATED ARTICLE What’s In a Bushwick? Ward’s original recipe called for a base of Rittenhouse Rye Whiskey, a 100-proof bottling that delivers a punchy 50% ABV. The drink also included Carpano Antica Formula, a notably rich sweet vermouth, and Luxardo maraschino liqueur . These ingredients make for a bolder style of cocktail, in which flavor-forward ingredients work to keep each other in check. However, when making one, feel free to play with various brands and expressions of rye and sweet vermouth to find the balance that works best for your tastes. The final ingredient is the trickiest for most to source—Amer Picon, a French aperitif flavored with bitter oranges and gentian. Unfortunately, the ingredient is famously unavailable to purchase in the United States, as one of its ingredients, calamus root, runs afoul of a mid-20th century Food and Drug Administration regulation still on the books. If you’re unable to source a bottle of Amer Picon, Ward has recommended swapping the ingredient with the more readily available Amaro Lucano . Other fans of the drink recommend Amaro CioCiaro as a suitable substitute as well.","[{'quantity': '2', 'unit': 'ounces', 'ingredient': 'rye whiskey'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'sweet vermouth'}, {'quantity': '1/4', 'unit': 'ounce', 'ingredient': 'maraschino liqueur'}, {'quantity': '1/4', 'unit': 'ounce', 'ingredient': 'Amer Picon'}]","['Combine all ingredients in a mixing glass filled with ice.', 'Stir for 15–20 seconds until well chilled.', 'Strain into a chilled coupe or Nick & Nora glass without garnish.']",17,whiskey
https://www.liquor.com/lychee-rose-cocktail-recipe-8551798,Lychee Rosé,Prairie Rose,"The Lychee Rosé is one of the few cocktails featured on Spago Beverly Hills’ Rare & Extravagant menu. It is also now Taylor Swift-approved . The mastermind behind the drink is bar director Adam George Fournier, formerly a Diageo World Class U.S. Bartender of the Year. Hired at the beginning of 2023 as the restaurant’s first dedicated bar director since the legendary Los Angeles restaurant opened in 1982, Fournier says that the Rare & Extravagant section on the revamped menu is a way for Spago “to highlight rare, unique, or luxury spirits.” The Lychee Rosé “was designed around Tequila Komos Reposado Rosa, a tequila aged in French oak ex-red wine barrels, [giving] it a unique flavor profile [and color],” says Fournier. “Essentially it’s our answer to a Lychee Martini.” We’re Drinking Like It’s 1999. Here’s How Cocktails Became Fun Again. RELATED ARTICLE The drink combines the rose-hued tequila with salted lychee cordial, manzanilla sherry, St-Germain elderflower liqueur , and fresh lime juice for a balance of perfumed fruit, tart citrus, and a touch of saline. At Spago, the cocktail is served in a glass shaped like a rose and garnished with a few delicate flower petals. At home, a chilled cocktail coupe will suffice. With or without the flower petal garnish this drink is sure to make the whole place shimmer.","[{'quantity': '1 1/2', 'unit': 'ounces', 'ingredient': 'reposado tequila'}, {'quantity': '3/4', 'unit': 'ounce', 'ingredient': 'salted lychee cordial'}, {'quantity': '1/2', 'unit': 'ounces', 'ingredient': 'manzanilla sherry'}, {'quantity': '1/2', 'unit': 'ounces', 'ingredient': 'elderflower liqueur'}, {'quantity': '1/2', 'unit': 'ounces', 'ingredient': 'lime juice'}, {'quantity': '', 'unit': '', 'ingredient': 'edible flower petals', 'note': 'Garnish'}]","['Add the tequila, salted lychee cordial, manzanilla sherry, elderflower liqueur, and lime juice into a shaker with ice, and shake until well-chilled.', 'Strain into a chilled cocktail glass.', 'Optional garnish of flower petals.']",14,tequila
